record_id,animal_id,species,breed,age_years,gender,weight_kg,body_temperature_c,symptoms,clinical_signs,disease,risk_score,risk_level,possible_risks,recommendation,status,report_date,village,taluka,district,state,owner_name,image_class_folder
HR0001,DS001,Cow,Sahiwal,9.8,Female,495,38.8,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-13,Phaltan,Phaltan,Satara,Maharashtra,Balasaheb Kadam,Disease_Images/Healthy
HR0002,DS002,Cow,Deoni,1.2,Male,451,38.9,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-19,Phaltan,Phaltan,Satara,Maharashtra,Dattatray Deshmukh,Disease_Images/Healthy
HR0003,DS003,Buffalo,Murrah,8.2,Male,466,40.5,fever;loss of appetite;skin problem,"Painful hooves, mouth ulcers, sudden drop in milk yield",Foot_Mouth_Disease,75,High,Skin-related infection risk;Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Needs Review,2026-08-26,Rahuri,Rahuri,Ahmednagar,Maharashtra,Anita Deshmukh,Disease_Images/Foot_Mouth_Disease
HR0004,DS004,Buffalo,Pandharpuri,6.7,Female,569,40.0,reduced milk production;fever,"Hard quarter of udder, flakes in milk, kicks when milked",Mastitis,37,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Needs Review,2026-09-09,Phaltan,Phaltan,Satara,Maharashtra,Lata Salunkhe,Disease_Images/Mastitis
HR0005,DS005,Cow,Deoni,6.1,Male,374,39.5,skin problem;fever,"Skin nodules with scabs, reduced movement, watery eyes",Lumpy_Skin_Disease,50,High,Skin-related infection risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-07-24,Karad,Karad,Satara,Maharashtra,Anita Kadam,Disease_Images/Lumpy_Skin_Disease
HR0006,DS005,Cow,Deoni,6.1,Male,374,38.9,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-08-06,Karad,Karad,Satara,Maharashtra,Anita Kadam,Disease_Images/Healthy
HR0007,DS006,Cow,Holstein Friesian,2.6,Female,483,40.6,fever;loss of appetite;reduced milk production,"Excess salivation, smacking lips, blisters on tongue, reluctant to walk",Foot_Mouth_Disease,62,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Open,2026-07-13,Niphad,Niphad,Nashik,Maharashtra,Shivaji More,Disease_Images/Foot_Mouth_Disease
HR0008,DS006,Cow,Holstein Friesian,2.6,Female,483,38.8,,"Alert, normal gait, normal milk yield",Healthy,0,Low,General health concern,Continue preventive care and monitor for new symptoms.,Verified,2026-07-29,Niphad,Niphad,Nashik,Maharashtra,Shivaji More,Disease_Images/Healthy
HR0009,DS007,Cow,Gir,8.6,Female,453,41.3,fever;loss of appetite;reduced milk production;weakness,"Excess salivation, smacking lips, blisters on tongue, reluctant to walk",Foot_Mouth_Disease,74,High,Systemic illness risk,Contact a veterinarian promptly and isolate the animal if advised by the veterinarian.,Verified,2026-09-07,Sangamner,Sangamner,Ahmednagar,Maharashtra,Vijay Chavan,Disease_Images/Foot_Mouth_Disease
HR0010,DS008,Cow,Khillar,5.3,Female,510,40.0,reduced milk production;fever;weakness,Swollen hot painful udder; clotted or watery milk,Mastitis,49,Medium,General health concern,Monitor the animal closely and consider veterinary consultation.,Open,2026-07-17,Phaltan,Phaltan,Satara,Maharashtra,Sunita More,Disease_Images/Mastitis
